İŞLEM YAPAN PERSONEL;FATURA TARİHİ;MARKA;İŞLETME ADI;CİHAZIN ADI;MODEL;CİHAZ SERİ NO;"TEKNİK SERVİSE 
 GİRİŞ TARİHİ";"TEKNİK SERVİSTEN 
 ÇIKIŞ TARİHİ";CİHAZ SORUNU;CİHAZ SORUN AÇIKLAMALARI;YAPILAN İŞLEM;TEKNİK SERVİS MASRAFI;"BİZİM MÜŞTERİYE
 SÖYLEDİĞİMİZ  MASRAF";ONAYLAYAN KİŞİ;"CONNECTE
 YAZILDI MI";;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI TURGUTREİS MARİNA;ROBOTPOS YAZICI;;1805120032;18.03.2022;;SİLİK YAZMA. TERMAL KAFA DEĞİŞTİ. TEST EDİLDİ SORUN GÖRÜLMEDİ.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI ISPARTA İYAŞ PARK AVM;ROBOTPOS CİHAZ+MÜŞTERİ EKRANI;;R2016002119 + (R2016302045);21.03.2022;;SES SORUNU.;;HOPARLÖR DEĞİŞTİ. BİOS UPDATE YAPILDI. COM PORT VİDASI TAKILDI. FORMAT ATILDI.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KÖFTECİ YUSUF AFYONKARAHİSAR DİNAR;ROBOTPOS CİHAZ+MÜŞTERİ EKRANI;;R20210030137 + (R2106190014);22.03.2022;;EKRANIN ALT YARISINDA RENK PROBLEMİ VAR.;;BİOS UPDATE YAPILDI FORMAT ATILDI (FIRAT);;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KÖFTECİ YUSUF İSTANBUL HALKALI;MÜŞTERİ EKRANI;;R1910230181;23.03.2022;;Vida yuvaları kırılan müşteri ekranı;;MÜŞTERİ EKRANI ARKA KISMI DEĞİŞTİRİLDİ METİN BEY BİLGİSİ İLE.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KÖFTECİ RAMİZ VADİ İSTANBUL;ROBOTPOS CİHAZ+MÜŞTERİ EKRANI;;R2017001064 + (R2017301064);23.03.2022;;DOKUNMATİK SORUNU--DOKUNMATIK MODUL (DOKUNMATIK PANEL KARTI) DEĞİŞTİ FORMAT ATILDI BİOS UPDATE YAPILDI.;;40USD+KDV;MESUT BEY ONAYLADI 28.03.2022;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KÖFTECİ YUSUF ISPARTA KEÇİBORLU LAVANTA;ROBOTPOS CİHAZ+MÜŞTERİ EKRANI;;R20210030102 + (R2016190170);23.03.2022;;CİHAZ AÇILMIYOR (KARGODAN KIRIK GELDİ.)  y. Isparta Keçiborlu lavanta kargoda kırılan cihaza müşteri ekranı kablosu müşteri ekranı ayağı cihaz arka kasası ve ön çerçeve değişmesi lazım ft. 24.08.2021 cihazda disk arızası var o ise garantiden değişecek metin bey bilgisi ile. Fiyat onayı alır mısınız? @Bahar;;Arkasa kasa-40usd+kdv- ön çerçeve 80usd+kdv--- TOPLAM 120USD+KDV;Bahri beye mail atıldı 24.03.2022 ONAYLADI ;;;;;;;;;;;;;;;;;;;;;;;;;;
;08.08.2019;;ÜNER PETROL;ROBOTPOS YAZICI;;1906060309;25.03.2022;;SİLİK YAZMAM;;TERMAL KAFA DEĞİŞMESİ GEREKMEKTEDİR.;55usd+kdv;FERDİ  BEY DÖNÜŞ YAPACAK 30.03.2022 KUR 14,81--30.03.2022 ONAYLADI ;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI AYDIN FORUM AVM;ROBOTPOS CİHAZ+MÜŞTERİ EKRANI;;R2016002118 + R201602031;25.03.2022;;VİRÜS BULAŞMIŞ;;BİOS UPDATE YAPILDI FORMAT ATILDI. TEST EDİLDİ SORUN GÖRÜLMEDİ.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI YENİSAHRA OPTİMUM AVM;ROBOTPOS YAZICI;;1708030048;28.03.2022;;KESME SORUNU;;TERMAL KAFA VE MERDANE DEĞİŞTİ. TEST EDİLDİ SORUN GÖRÜLMEDİ.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;12.02.2018;;DEMLİK ANKARA PODİUM;ROBOTPOS YAZICI;;1708030161;29.03.2022;;BIÇAK SORUNU.TERMAL KAFA DEĞİŞECEK;;TERMAL KAFA DEĞİŞECEK;55USD+KDV;ANDAÇ  BEY ONAYLAMADI 05.04.2022;;;;;;;;;;;;;;;;;;;;;;;;;
;26.10.2021;;İSTİNYE TAVUKÇUSU İZMİR İSTİNYEPARK;ROBOTPOS YAZICI;;2106080241;29.03.2022;;SİLİK YAZMA;;TERMAL KAFA DEĞİŞTİ. TEST EDİLDİ SORUN GÖRÜLMEDİ.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI BURSA KORUPARK;ROBOTPOS CİHAZ;;R2016002177;29.03.2022;;KART OKUYUCU ÇALIŞMIYOR.;;KART OKUYUCU DEĞİŞTİ BİOS UPDATE VE FORMAT ATILDI SORUN GÖRÜLMEDİ.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI BURSA KORUPARK;ROBOTPOS MÜŞTERİ 8 İNÇ EKRANI;;R2016302066;29.03.2022;;CİHAZ İLE GELDİ GENEL KONTROL.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI BURSA KENT MEYDANI AVM;ROBOTPOS CİHAZ;;2016001156;29.03.2022;;ONARILAN CİHAZ MÖÜŞTERİ EKRANI SORUNU VARMIŞ.;;TEST EDİLDİ SORUN GÖRÜLMEDİ GÖSTERGE TAM BAĞLANMAMIŞ;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI BURSA KENT MEYDANI AVM;ROBOTPOS MÜŞTERİ 8 İNÇ EKRANI;;2016301029;29.03.2022;;GÖSERGEDE TEMAZSIZLIK VAR GİDİP GELİYOR.;;TEST EDİLDİ SORUN GÖRÜLMEDİ GÖSTERGE TAM BAĞLANMAMIŞ;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI İSKENDERUN PRIMEMALL AVM;ROBOTPOS CİHAZ+MÜŞTERİ EKRANI;;R2018003080 + (R21010800023);29.03.2022;;DONMA SORUNU;;BİOS UPDATE VE FORMAT ATILDI VİRÜS PROGRAMI KURULDU TESTTE SORUN GÖRÜLMEDİ.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;IHLAMUR AĞACI BURSA NİLÜFER;ROBOTPOS CİHAZ;;R2017002036;30.03.2022;;AÇILMIYOR POWER SOKET KOPMUŞ.GENEL KONTROL.;;POWER SOKET ONARILDI BİOS UPDATE VE FORMAT ATILDI TESTTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;IHLAMUR AĞACI BURSA NİLÜFER;ROBOTPOS CİHAZ;;R2017002044;30.03.2022;;KART OKUYUCU KIRIK.CİHAZ AYAĞI YOK GENEL KONTROL.;;KART OKUYUCU ONARILDI BİOS UPDATE VE FORMAT ATILDI TESTT;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KÖFTECİ RAMİZ MARDİN MARDİAN AVM;ROBOTPOS CİHAZ+MÜŞTERİ EKRANI;;R20210030081 + (R2106190171);30.03.2022;;DOKUNMATİK SORUNU;;BİOS UPDATE YAPILDI. FORMAT ATILDI SORUN GÖRÜLMEDİ.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI ELMADAĞ TAKSİM;ROBOTPOS YAZICI;;1910280108;30.03.2022;;SİLİK YAZMA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI ADAPAZARI ADA AVM;ROBOTPOS CİHAZ+MÜŞTERİ EKRANI;;R2016002011+ (R2016302077);30.03.2022;;VİRÜS BULAŞMIŞ.;;BİOS UPDATE VE FORMAT ATILDI VİRÜS PROGRAMI KURULDU SORUN GÖRÜLMEDİ.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI KUŞADASI MARİNA;ROBOTPOS CİHAZ+MÜŞTERİ EKRANI;;R2016002097 + (R2016302022);31.03.2022;;MÜŞTERİ EKRANI ARIZALI.;;BİOS UPDATE VE FORMAT ATILDI VİRÜS PROGRAMI KURULDU SORUN GÖRÜLMEDİ.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;18.01.2019;;TAVUK DÜNYASI MECİDİYEKÖY;ROBOTPOS YAZICI;;1811250149;01.04.2022;;SİLİK YAZMA.TERMAL KAFA DEĞİŞECEK;;TERMAL KAFA DEĞİŞECEK;55USD+KDV;11.04.2022 süleyman  bey arandı ulaşılmadı 12.04.2022 süleymna bey donus yapacak ...kur 14.7427 süleyman bey onayladı ;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI KOZYATAĞI KOZZY AVM;ROBOTPOS CİHAZ+MÜŞTERİ EKRANI;;2016001108 + (R2016302089);01.04.2022;;DONMA SORUNU;;BAŞKA RAM VE DİSK TAKILMIŞ.FORMAT ATILDI SORUN GÖRÜLMEDİ.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;EKMEK ARASI KOZYATAĞI;ROBOTPOS CİHAZ;;R2019001007;01.04.2022;;ŞUBEYE HIRSIZ GİRMESİ SONUCU CİHAZ HASAR ALMIŞ;;ANAKART TAMİRİ , DOKUNMATİK MODÜL VE CİHAZ ARKA KAPAK BACK COVER DEĞİŞİMİ GEREKMEKTEDİR.--125usd+kdv masraf çıkıyor. ;cihaza ait anakart,arka kapak ve dokunmatik modülünün değişmesi gerekiyor. 125$+KDV.    çıkacak olan masraflarla birlikte,şubede değişen ayakda aynı anda fatura eidlecek 80$+kdv bahri  bey onayladı. 04.04.2022 bahri bey onayladı ;;Bahri beye mail atıldı ;;;;;;;;;;;;;;;;;;;;;;;;
;;;EKMEK ARASI KOZYATAĞI;ROBOTPOS CİHAZ;;R2019001019;01.04.2022;;ŞUBEYE HIRSIZ GİRMESİ SONUCU CİHAZ HASAR ALMIŞ;;CİHAZ ARKA KAPAK BACK COVER DEĞİŞMESİ GEREKMEKTEDİR.45usd+kdv masraf çıkıyor. ;45usd+kdv;bahri bey onayaldı ;;;;;;;;;;;;;;;;;;;;;;;;;
;;;EKMEK ARASI KOZYATAĞI;MÜŞTERİ EKRANI;;R1904080012;01.04.2022;;ŞUBEYE HIRSIZ GİRMESİ SONUCU CİHAZ HASAR ALMIŞ;;LCD PANEL, ÖN ÇERÇEVE VE ANAKART DEĞİŞMESİ GEREKMEKTEDİR.;Gösterge 250USD+KDV DEN %23 İSKONTA OLACAK.  192,5usd+kdv düşüyor sıfır satın alındı, sisteme işlendi. BAHRİ BEY ONAYLADI ;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;EKMEK ARASI KOZYATAĞI;MÜŞTERİ EKRANI;;R1904080025;01.04.2022;;ŞUBEYE HIRSIZ GİRMESİ SONUCU CİHAZ HASAR ALMIŞ;;LCD PANEL, ÖN ÇERÇEVE VE ANAKART DEĞİŞMESİ GEREKMEKTEDİR.;Gösterge 250USD+KDV DEN %23 İSKONTA OLACAK. 192,5usd+kdv düşüyor sıfır satın alındı sisteme illendi BAHRİ BEY ONAYLADI ;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI ÖZYEĞİN ÜNİVERSİTESİ CORNER;ROBOTPOS CİHAZ;;2016001123;04.04.2022;;RAM VE DİSK DEĞİŞİNCE AÇILMAMIŞ.;;ANAKART DEĞİŞTİ FORMAT ATILDI TESTTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
;27.09.2021;;TAVUK DÜNYASI İZMİR İSTİNYE;ROBOTPOS CİHAZ+MÜŞTERİ EKRANI;;R20210030286 +(R2106190001);04.04.2022;;EKRANDA  KAYMA OLUYOR.;;BİOS UPDATE VE FORMAT ATILDI SORUN GÖRÜLMEDİ.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;09.04.2018;;ÖZCANLAR KÖFTE BOLU HENDEK GÜNEY;ROBOTPOS YAZICI;;1801160010;04.04.2022;;SİLİK YAZMA-TERMAL KAFA DEĞİŞECEK;;-TERMAL KAFA DEĞİŞTİ;55USD+KDV;11.04.2022 mert beye mail atıldı 11.04.2022 mert b ey onayladı ;;;;;;;;;;;;;;;;;;;;;;;;;
;20.04.2018;;ÖZCANLAR KÖFTE BOLU HENDEK GÜNEY;ROBOTPOS YAZICI;;1801160097;04.04.2022;;SİLİK YAZMA--TERMAL KAFA DEĞİŞECEK;;-TERMAL KAFA DEĞİŞTİ;55USD+KDV;11.04.2022 mert beye mail atıldı 11.04.2022 mert bey onayladı ;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI ADANA M1 AVM;ROBOTPOS MÜŞTERİ EKRANI;;R2017303045;04.04.2022;;KABLOSU KOPUK.;;KABLO ONARIMI YAPILACAK.;MÜŞTERİ EKRANIN KABLOSU DEĞİŞTİ.;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;ÖZCANLAR KÖFTE TEKİRDAĞ BEYAZKÖY;ROBOTPOS YAZICI;;RBT1000;06.04.2022;;SİLİK YAZMA VAR VE KESME YAPMIYOR.;;TERMAL KAFA VE MERDANE TAKIMI DEĞİŞMESİ GEREKMEKTEDİR.;70usd+kdv fiyat iletilecek ;11.04.2022 mert beye mail atıldı  sııfr fiyat teklif edildi 125usd+kdv mert bey onayladı sıfır satın alınıyor. eski yazıcı bizde kalacak ;;;;;;;;;;;;;;;;;;;;;;;;;
;;;TAVUK DÜNYASI KARTAL KOÇTAŞ;ROBOTPOS CİHAZ;;R2016002148;07.04.2022;;DİSK ARIZASI FORMAT ATILAMIYOR.ARIZASI MERKEZLERİNE HABER EDİLECEK.SSD KULLNIMA BAĞLI BOZULMUŞ, DEĞİŞMESİ GEREKİYOR. ;;40USD+KDV;muhammed beye mail atıldı 11.04.2022 12.04.2022 muhammed bey onayladı ;;;;;;;;;;;;;;;;;;;;;;;;;;
;18.02.2020;;TAVUK DÜNYASI KARTAL ÇARŞI;ROBOTPOS YAZICI;;1906060188;07.04.2022;;SİLİK YAZMA-TERMAL KAFA DEĞİŞMESİ GERKMEKTEDİR.;;55USD+KDV;14.04.2022 HÜSEYİN BEYDEN DÖNÜŞ BEKLENİYOR.  15.04.2022 ONAY GELDİ ;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KÖMÜR TÜRK MUTFAĞI BAŞAKŞEHİR;ROBOTPOS CİHAZ;;R2019002193;07.04.2022;;CİHAZ AÇILMIYOR;;PARÇA 2 BUÇUK AY ÖNCE DEĞİŞTİĞİ İÇİN TEKRAR GANTİDEN DEĞİŞTİ. ANAKART DEĞİŞTİ.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI GAZİANTEP ÜNİVERSİTESİ BULVARI;ROBOTPOS CİHAZ+ MÜŞTERİ EKRANI;;R2018002284 + (R2017301164);08.04.2022;;SES SORUNU;;BİOS UPDATE YAPILDI. FORMAT ATILDI. HOPARLÖR DEĞİŞTİ;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;FARİKA DÖNER ÜMRANİYE TEPEÜSTÜ;VİNTEC CİHAZ;;6745A170863079D;08.04.2022;;CİHAZ AÇILMIYOR;;ANAKART VE POWER BORD,FLEX KABLO DEĞİŞMESİ LAZIM,;350USD+KDV;05521920203 serkan bey dönüş yapacak 05.05.2022 EYÜP BEY ARANDI ULAŞILMADI --SERKAN BEY ONAYLADI ;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI ANKARA ANKAMALL;ROBOTPOS CİHAZ+ MÜŞTERİ EKRANI;;2016001019 + (2016301010);12.04.2022;;VİRÜS BULAŞMIŞ;;BİOS UPDATE YAPILDI. FORMAT ATILDI. VİRÜS PROGRAMI KURULDU.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;BAYLAN KADIKÖY;ROBOTPOS YAZICI;;1612090010;12.04.2022;;SİLİK YAZMA;;kd emrkeze ait 160613V1012L-D0322 sn li possify yazıcı takıldı.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;30.01.2019;;UZAY PASTANESİ BURSA PARKORA;ROBOTPOS YAZICI;;1811250281;14.04.2022;;SİLİK YAZMA-TERMAL KAFA DEĞİŞMESİ GEREKMEKTEDİR.31.12.2021 DE 55 USD+KDV YE DEĞİŞMİŞTİR ÜZERİNDEN 3.5 AY GEÇMİŞTİR.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;TAVUK DÜNYASI ADANA ATATÜRK CADDE;ROBOTPOS CİHAZ;;R2017001017;15.04.2022;;AÇILMIYOR.;;BİOS PİLİ DEĞİŞTİ. BİUS UPDATE VE FORTMAT ATILDI.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;12.03.2020;;CHEFS CORNER GEBZE CENTER;ROBOTPOS YAZICI;;1906060217;18.04.2022;;SİLİK YAZMA;;TERMAL KAFA DEĞİŞECEK;55USD+KDV;Erdi bey dönüş yapacak 20.04.2022 25.04.2022 erdi bey onay verdi;;;;;;;;;;;;;;;;;;;;;;;;;
;19.04.2019;;ETİLER MARMARİS BAŞAKŞEHİR 5.ETAP;ROBOTPOS YAZICI;;1811250105;18.04.2022;;SİLİK YAZMA;;TERMAL KAFA DEĞİŞECEK;55USD+KDV;murat bey dönüş yapacak 22.04.2022 murat bey odemeyı yaptı, dekont iletildi proh-je desteğe 14,6869 kurdan keilecek faturası ;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI ANKARA KAŞMİR AVM;ROBOTPOS CİHAZ+ MÜŞTERİ EKRANI;;R2018002220 + (R2017302007);18.04.2022;;ETHERNET PORT ARIZASI.;;FORMAT ATILDI BİOS UPDATE YAPILDI TEST EDİLDİ SORUN GÖRÜLMEDİ.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;15.08.2018;;CEVİZ AĞACI ACIBADEM;ROBOTPOS YAZICI;;1805120055;18.04.2022;;SİLİK YAZMA--termal kafa değişecek;;TERMAL KAFA DEĞİŞECEK;55USD+KDV;ibrahim bey onayladı 22.04.2022;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI ÇORUM AHL PARK;ROBOTPOS YAZICI;;1801160007;20.04.2022;;ERROR VERİYOR.;;ANAKART DEĞİŞTİ. ÜST KAPAK MERDANESİ DEĞİŞTİ. TERMAL KAFA DEĞİŞTİ.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;22.03.2019;;PİDE BY PİDE ANKARA KIZILAY AVM;ROBOTPOS CİHAZ+ MÜŞTERİ EKRANI;;R2018003146 +(R1811290084);20.04.2022;;CİHAZ 15 DK SONRA KENDİ KENDİNNE  KAPANIYOR.;;MK CİHAZ ANAKART DEĞİŞECEK ;295USD+KDV;;05.05.2022 tar,h,nde özkan beye mail atıldı 09.05.2022 adem bey onaylaıd ;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI BODRUM MARİNA;ROBOTPOS CİHAZ+ MÜŞTERİ EKRANI;;2016001120 + (2016301123);21.04.2022;;COM GİRİŞİNDE ARIZA VAR.;;COM4 ANAKART TARAFI ARIZALI 3 E TAKILDI DÜZELDİ MÜŞ. EKR. AYAĞI DEĞİŞTİRİLDİ. FORMAT ATILDI VİRÜS PROGRAMI KURULDU.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;TAVUK DÜNYASI KAVACIK CADDE;ROBOTPOS CİHAZ+ MÜŞTERİ EKRANI;;R2018001090 + (R2017303066);25.04.2022;;CPU 100 ÇALIŞIYOR;;BİOS UPDATE VE FORMAT ATILDI (FIRAT) TESTTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
;25.05.2021;;ET İŞLERİ İZMİR HİLLTOWN;ROBOTPOS MÜŞTERİ EKRANI;;R2009150062;25.04.2022;;Müşteri ekranında bulanık mavi bir renk SORUNU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;17.01.2019;;UZAY PASTANESİ BURSA PARKORA;ROBOTPOS YAZICI;;1811250287;25.04.2022;;SİLİK YAZMA;;TERMAL KAFA VE ADAPTÖR DEĞİŞİMİ - İADE EDİLDİ;105USD+KDV;sıfır yazıcı fiyatı 233usd+kdv;05.05.2022 SELÇUK BEY DÖNÜŞ YAPACAK 10.05.2022 selçuk bey dönüş yapacak --tamer bey dönüş yapacak 16.05.2022 17.05.2022 FIRAT BEY ONAYLAMADI ADAPTÖRLERLE BİRLİKTE İADE EDİLECEK ;;;;;;;;;;;;;;;;;;;;;;;;
;17.01.2019;;UZAY PASTANESİ BURSA PARKORA;ROBOTPOS YAZICI;;1811250288;25.04.2022;;SİLİK YAZMA;;TERMAL KAFA VE ADAPTÖR DEĞİŞİMİ - İADE EDİLDİ;105USD+KDV;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI KUŞADASI MARİNA;ROBOTPOS YAZICI;;1708030003;25.04.2022;;SİLİK YAZMA;;TERMAL KAFA DEĞİŞTİ SORUN GÖRÜLMEDİ.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI LÜLEBURGAZ 39 BURDA AVM ;ROBOTPOS CİHAZ+ MÜŞTERİ EKRANI;;R2018001193 + (R2017301171);26.04.2022;;DONUYOR;;BİOS UPDATE YAPILDI FORMAT ATILDI SORUN GÖRÜLMEDİ.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;11.10.2021;;TAVUK DÜNYASI ANTALYA BEACH PARK;ROBOTPOS CİHAZ+ MÜŞTERİ EKRANI;;R20210030190 + (R2106190021);27.04.2022;;DOKUNMATİK ÇALIŞMIYOR;;BİOS UPDATE YAPILDI FORMAT ATILDI SORUN DÜZELDİ. (FIRAT);;;;;;;;;;;;;;;;;;;;;;;;;;;
;12.03.2020;;CHEFS CORNER GEBZE CENTER;ROBOTPOS YAZICI;;1906060224;28.04.2022;;SİLİK YAZMA;;TERMAL KAFA DEĞİŞTİ SORUN GÖRÜLMEDİ.;55usd+kdv;06.05.2022 ERDİ  BEY ONAYLADI ;;;;;;;;;;;;;;;;;;;;;;;;;
;;;TAVUK DÜNYASI AQUA FLORYA AVM;ROBOTPOS CİHAZ;;R20220010201;05.05.2022;;SIVI TEMASI VAR.;;LCD EKRAN İÇİ TEMZİLENDİ SIKINTILARI BÜYÜK ÖLÇÜDE GİDERİLDİ BAŞKA SORUN GÖRÜLMEDİ ŞİMDİLİK. İLERİDE OLUŞABİLECEK SORUNLARDA BU SIVI TEMASINDAN DOLAYI OLABİLECEK ARIZALAR ÜCRETE TABİ OLABİLİR.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;BLOK MAÇKA;ROBOTPOS CİHAZ;;R20210030017;05.05.2022;;EKRAN KIRIK.;;DOKUNMATİK PANEL VE ÖN ÇERÇEVE DEĞİŞİMİ GEREKİYOR. ;ÇERÇEVE 70USD+KDV + DOKUNMATİK PANEL 220USD+KDV : 290USD+KDV;ÇERÇEVE DOKUNMATİK DEĞİŞTİ. BİOS UPDATE YAPILDI.;06.05.2022 SERCAN BEY DONUS YAPACAK 10.05.2022 SERCAN BEY ARANDI Cuma günü dönüş yapacak. 12.05.2022 SERCAN BEY ONAYLADI ;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI ÇORLU ORİON AVM;ROBOTPOS CİHAZ + MÜŞTERİ EKRANI;;2016001197 + (R2016302036 );06.05.2022;;ARIZA BİLGİSİ YOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI İZMİT ÇARŞI;ROBOTPOS CİHAZ + MÜŞTERİ EKRANI;;R2017003014 +(097DL170868018 );06.05.2022;;MÜŞTERİ EKRANINDA GÖRÜNTÜ YOK;;MÜŞTERİ EKRANININ ADAPTÖRÜ DEĞİŞTİRİLDİ TEST EDİLDİ SORUN GÖRÜLMEDİ.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;19.04.2018;;TAVUK DÜNYASI MALTEPE PİAZZA AVM;ROBOTPOS YAZICI;;1801160096;06.05.2022;;SİLİK YAZMA-TERMAL KAFA DEĞİŞECEK;;TERMAL KAFA DEĞİŞECEK.;45 USD+KDV;20.05.2022 DE OKTAY BEY ARANDI İNDİRİM İSTENDİ YETKİLİMİZ İLE GÖRÜŞÜLÜP BİLGİ VERİLECEK.--27.05.2022 DE METİN YAZGU BEY OKTAY BEYE ULAŞAMADI VE KADİR BEYLE GÖRÜŞTÜ HABER BEKLENİYOR.--06.06.2022 DE OKTAY BEY ÖDEMEYİ YAPTI KUR:16.50 06.06.2022 faturası kesildi ;;;;;;;;;;;;;;;;;;;;;;;;;
;;;MALATYA PAZARI HİLLTOWN AVM;PARA HAZNESİ;;46000307280;09.05.2022;;PARA HAZNESİ ARIZASI (GÜRKAN SERVİSE GÖTÜRDÜ);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;10.08.2021;;EKMEK ARASI İSTANBUL ÇENGELKÖY GÜZELTEPE;ROBOTPOS CİHAZ;;R20210020273;09.05.2022;;DOKUNMATİK SORUNU;;İMAJ ATILDI 3 SAAT TEST EDİLDİ SORUN GÖRÜLMEDİ.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;10.08.2021;;KÖFTECİ YUSUF MALTEPE RİTİM;ROBOTPOS CİHAZ;;R20210010097;09.05.2022;;CİHAZ ÇALIŞMIYOR;;GARANTİ DAHİLİNDE ANAKART DEĞİŞTİ.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI KABATAŞ;ROBOTPOS YAZICI;;1708030208;09.05.2022;;SİLİK YAZMA;;MERKEZLERİNE AİT 1805120301 SN.Lİ ROBOTPOS YAZICI VERİLDİ.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;13.08.2021;;TAVUK DÜNYASI DARICA CADDE;ROBOTPOS YAZICI;;1910280220;10.05.2022;;SİLİK YAZMA;;TERMAK KAFA DEĞİŞTİ TEST EDİLDİ SORUN GÖRÜLMEDİ.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KÖFTECİ RAMİZ BURSA OKSİJEN 86 A GÜNEY;ROBOTPOS CİHAZ;;R2017001179;11.05.2022;;CİHAZ ADAPTÖR GİRİŞİ ARIZALI VE KART OKUYCUSU YOK- POWER SOKET ARIZASI;;power soket arızalı- METİN YAZGU POWER SOKETİ DEĞİŞTİRDİ. FORMAT ATILDI, BIOS UPDATE YAPILDI;35usd+kdv;;KERİM BEY ONAYLADI;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI İSKENDERUN PRİMEMALL;ROBOTPOS CİHAZ;;R2018003080;11.05.2022;;İŞLEM SIRASINDA DONUYOR.;;128 GB SSD TAKILDI FORMAT ATILDI SORUN GÖRÜLMEDİ.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI İSKENDERUN PRİMEMALL;ROBOTPOS MÜŞTERİ ERAKNI;;R2101080023;11.05.2022;;CİHAZ İLE GELDİ GENEL KONTROL.;;GENEL KONTROL YAPILDI SORUN GÖRÜLMEDİ.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;12.03.2020;;CHEFS CORNER GEBZE CENTER;ROBOTPOS YAZICI;;1906060218;12.05.2022;;SİLİK YAZMA.TERMAL KAFA DEĞİŞECEK;;TERMAL KAFA DEĞİŞTİ;;55 USD+ KDV;ERDİ BEY ONAYLADI.;;;;;;;;;;;;;;;;;;;;;;;;
