İŞLEM YAPAN PERSONEL;FATURA TARİHİ;MARKA;İŞLETME ADI;CİHAZIN ADI;MODEL;CİHAZ SERİ NO;"TEKNİK SERVİSE 
 GİRİŞ TARİHİ";"TEKNİK SERVİSTEN 
 ÇIKIŞ TARİHİ";CİHAZ SORUNU;CİHAZ SORUN AÇIKLAMALARI;YAPILAN İŞLEM;TEKNİK SERVİS MASRAFI;"BİZİM MÜŞTERİYE
 SÖYLEDİĞİMİZ  MASRAF";ONAYLAYAN KİŞİ;"CONNECTE
 YAZILDI MI";;;;;;;;;;;;;;;;;;;;;;;
;;;FARUK GÜLLÜOĞLU ARNAVUTKÖY;ROBOTPOSCİHAZ;;SN:R2016002059;28.07.2017;;EKRAN KAYMA SORUNU;;MERKEZE GÖNDERİLDİ.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;OSMANLIOGULLARI KURUYEMİŞ KURTULUŞ;ROBOTPOSCİHAZ;;SN:R2016C02114;18.07.2017;;EKRAN SORUNU;;OFİS İÇİ ;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;ÇITIR USTA EXPRESS MITTOWN BODRUM ;ROBOTPOS YAZICI;;1612090028;03.03.2017;;KAPAK KAPANMIYOR;;OFİS İÇİ ;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;TAVUK DÜNYASI GAZİANTEP SANKOPARK;ROBOTPOS YAZICI ;;SN:1612090053;14.08.2017;;EROR IŞIGI SORUNU;;KAPAK DEĞİŞİMİ , MERDANE VE JİLET DEĞİŞİMİ YAPILACAK ;70USD+KDV;05412771660 OĞUZ BEY;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI CEVAHİR AVM;ROBOTPOS CİHAZ;;SN:2016001041;16.08.2017;;CİHAZ DONMA SORUNU;;OFİS İÇİ ;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;TAVUK DÜNYASI KURTKÖY;ROBOTPOS YAZICI;;SN.1612090101;16.08.2017;;KAPAK AÇILMIYOR BICAK SUREKLI ILERI SARIYOR. ;;MERKEZE GÖNDERİLDİ.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI TURGUT REİS MARİNA (geldi);ROBOTPOS YAZICI;;SN:1612090060;17.08.2017;;KAGIT SIKIŞTIRMA SORUNU ---BIÇAK İŞLEMİ YAPILDI ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;FARUK GÜLLÜOĞLU ARNAVUTKÖY;ROBOTPOS CİHAZ;;SN:R2016002059 ;20.08.2017;;EKRAN SORUNU;;MERKEZE GÖNDERİLDİ ;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KASAP DÖNER ADANA M1;ROBOTPOS CİHAZ;;SN:R2017002002;24.08.2017;;;;MERKEZE GELDİ ;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI BALIKESİR YAYALADA ;ROBOTPOS CIHAZ;;SN:R2016002126 ;;;;;GÜÇ KABLOSU DEĞİŞTİRLDİ VE İŞLETMEYE KARGOLANDI 24.08.2017;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;BRASSERİE DOOR EMAAR AVM;ROBOTPOS CİHAZ;;SN:R2017001195;29.08.2017;;çalışmıyor. merkeze metın byee goturuldu.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;BAYLAN KADIKÖY;ROBOTPOS YAZICI;;SN:1612090010;05.09.2017;;BIÇAK ÖNE GELDİGİNDEN KAPAK AÇILMIYOR;;MERKEZE GÖNDERİLDİ ;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;VE ALA MANGAL BEYLİKDÜZÜ MİGROS;ROBOTPOS YAZICI;;1612090035;05.09.2017;;KAPAK AÇILMIYOR VE BIÇAK ÖNE GELİYOR.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
